,SEXO,EDAD,NACIO,DISCA,TITU,RAMA,AMBITO,T_UNIV,ESTUDIOS_PADRE,ESTUDIOS_MADRE,IDIOMAS,NIV_ID1,NIV_ID2,MVFUERA,EST_M1,HL_E1,HL_E2,HL_E3,EST_B1,EST_B2_1,EST_B2_4,TIC,CAPITAL_CULTURAL,NIVEL_IDIOMA_MAX,MOVILIDAD_INTL,PRACTICAS_CALIDAD,PERFIL_GLOBAL
1380,2,3,1,2,11201,3,112,1,3.0,3.0,1.0,2.0,,2.0,2.0,1,1,1,1.0,1,2,1.0,3.0,2.0,0,3,3.17
11826,2,3,1,2,41301,3,413,3,8.0,,0.0,,,2.0,2.0,4,,1,2.0,,,2.0,8.0,0.0,0,0,0.0
19075,2,1,1,2,61901,4,61,1,6.0,6.0,3.0,1.0,3.0,2.0,2.0,2,5,2,2.0,,,3.0,6.0,3.0,0,1,5.5
31012,1,3,1,2,101501,3,1015,1,4.0,3.0,2.0,1.0,3.0,2.0,2.0,1,1,1,1.0,1,2,3.0,3.5,3.0,0,3,5.0
4788,1,1,1,2,21101,3,211,1,6.0,4.0,1.0,2.0,,1.0,2.0,2,4,2,2.0,,,2.0,5.0,2.0,1,1,7.17
7562,2,1,1,2,23201,1,23,1,3.0,5.0,1.0,3.0,,2.0,2.0,2,2,1,2.0,,,2.0,4.0,3.0,0,1,4.5
30694,1,1,1,2,101401,3,1014,1,4.0,4.0,2.0,,2.0,2.0,2.0,1,2,2,2.0,,,2.0,4.0,2.0,0,3,3.67
31528,1,2,1,2,104101,4,109,1,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3,4,2,1.0,1,2,2.0,2.0,2.0,0,2,3.67
18660,1,2,1,2,54101,2,54,1,4.0,4.0,1.0,1.0,,1.0,2.0,4,,2,1.0,1,2,1.0,4.0,1.0,1,0,5.83
30486,1,2,1,2,101401,3,1014,1,3.0,3.0,1.0,,,2.0,2.0,4,,1,2.0,,,1.0,3.0,0.0,0,0,0.5
3216,2,1,1,2,11301,3,113,1,4.0,5.0,1.0,2.0,,2.0,2.0,1,3,2,1.0,1,2,1.0,4.5,2.0,0,3,3.17
25425,1,3,1,2,82101,4,82,1,8.0,8.0,2.0,1.0,3.0,2.0,1.0,4,,2,1.0,2,2,2.0,8.0,3.0,1,0,9.0
21762,1,2,1,2,71502,4,71,1,5.0,8.0,2.0,1.0,1.0,1.0,1.0,2,2,1,1.0,2,2,2.0,6.5,1.0,1,1,6.33
6261,2,2,1,2,22202,1,22,2,4.0,5.0,1.0,1.0,,2.0,2.0,4,,1,2.0,,,2.0,4.5,1.0,0,0,1.83
